track_title,track_n,lyric,line,section,album_name
Lavender Haze,1,Meet me at midnight,1,1,Midnights
Lavender Haze,1,Starin' at the ceilin' with you,2,2,Midnights
Lavender Haze,1,"Oh, you don't ever say too much",3,2,Midnights
Lavender Haze,1,And you don't really read into,4,2,Midnights
Lavender Haze,1,My melancholia,5,2,Midnights
Lavender Haze,1,"I've been under scrutiny (yeah, oh, yeah)",6,3,Midnights
Lavender Haze,1,"You handle it beautifully (yeah, oh, yeah)",7,3,Midnights
Lavender Haze,1,"All this shit is new to me (yeah, oh, yeah)",8,3,Midnights
Lavender Haze,1,I feel the lavender haze creepin' up on me,9,4,Midnights
Lavender Haze,1,"Surreal, I'm damned if I do give a damn what people say",10,4,Midnights
Lavender Haze,1,"No deal, the 1950s shit they want from me",11,4,Midnights
Lavender Haze,1,I just wanna stay in that lavender haze,12,4,Midnights
Lavender Haze,1,All they keep askin' me (all they keep askin' me),13,5,Midnights
Lavender Haze,1,Is if I'm gonna be your bride,14,5,Midnights
Lavender Haze,1,The only kind of girl they see (only kind of girl they see),15,5,Midnights
Lavender Haze,1,Is a one-night or a wife,16,5,Midnights
Lavender Haze,1,"I find it dizzying (yeah, oh, yeah)",17,6,Midnights
Lavender Haze,1,"They're bringin' up my history (yeah, oh, yeah)",18,6,Midnights
Lavender Haze,1,"But you aren't even listening (yeah, oh, yeah)",19,6,Midnights
Lavender Haze,1,(Ooh-whoa),20,6,Midnights
Lavender Haze,1,I feel the lavender haze creepin' up on me,21,7,Midnights
Lavender Haze,1,"Surreal, I'm damned if I do give a damn what people say",22,7,Midnights
Lavender Haze,1,"No deal, the 1950s shit they want from me",23,7,Midnights
Lavender Haze,1,I just wanna stay in that lavender haze,24,7,Midnights
Lavender Haze,1,That lavender haze,25,7,Midnights
Lavender Haze,1,Talk your talk and go viral,26,8,Midnights
Lavender Haze,1,I just need this love spiral,27,8,Midnights
Lavender Haze,1,Get it off your chest,28,8,Midnights
Lavender Haze,1,Get it off my desk (get it off my desk),29,8,Midnights
Lavender Haze,1,Talk your talk and go viral,30,8,Midnights
Lavender Haze,1,I just need this love spiral,31,8,Midnights
Lavender Haze,1,Get it off your chest,32,8,Midnights
Lavender Haze,1,Get it off my desk,33,8,Midnights
Lavender Haze,1,(Ooh-whoa),34,8,Midnights
Lavender Haze,1,I feel (I feel) the lavender haze creepin' up on me,35,9,Midnights
Lavender Haze,1,"Surreal, I'm damned if I do give a damn what people say (oh, yeah)",36,9,Midnights
Lavender Haze,1,"No deal (no deal), the 1950s shit they want from me",37,9,Midnights
Lavender Haze,1,I just wanna stay in that lavender haze,38,9,Midnights
Lavender Haze,1,Get it off your chest,39,10,Midnights
Lavender Haze,1,Get it off my desk,40,10,Midnights
Lavender Haze,1,"That lavender haze, I just wanna stay",41,10,Midnights
Lavender Haze,1,I just wanna stay in that lavender haze,42,10,Midnights
Maroon,2,When the morning came we were cleaning incense off your vinyl shelf,1,1,Midnights
Maroon,2,'Cause we lost track of time again,2,1,Midnights
Maroon,2,Laughing with my feet in your lap,3,1,Midnights
Maroon,2,Like you were my closest friend,4,1,Midnights
Maroon,2,"""How'd we end up on the floor anyway?"" You say",5,1,Midnights
Maroon,2,"""Your roommate's cheap-ass screw-top rosé, that's how""",6,1,Midnights
Maroon,2,I see you every day now,7,1,Midnights
Maroon,2,And I chose you,8,2,Midnights
Maroon,2,The one I was dancin' with,9,2,Midnights
Maroon,2,"In New York, no shoes",10,2,Midnights
Maroon,2,Looked up at the sky and it was,11,2,Midnights
Maroon,2,The burgundy on my T-shirt when you splashed your wine into me,12,3,Midnights
Maroon,2,"And how the blood rushed into my cheeks, so scarlet, it was",13,3,Midnights
Maroon,2,"The mark you saw on my collarbone, the rust that grew between telephones",14,3,Midnights
Maroon,2,"The lips I used to call home, so scarlet, it was maroon",15,3,Midnights
Maroon,2,"When the silence came, we were shaking blind and hazy",16,4,Midnights
Maroon,2,How the hell did we lose sight of us again?,17,4,Midnights
Maroon,2,Sobbin' with your head in your hands,18,4,Midnights
Maroon,2,Ain't that the way shit always ends?,19,4,Midnights
Maroon,2,You were standin' hollow-eyed in the hallway,20,4,Midnights
Maroon,2,"Carnations you had thought were roses, that's us",21,4,Midnights
Maroon,2,I feel you no matter what,22,4,Midnights
Maroon,2,The rubies that I gave up,23,4,Midnights
Maroon,2,And I lost you,24,5,Midnights
Maroon,2,The one I was dancin' with,25,5,Midnights
Maroon,2,"In New York, no shoes",26,5,Midnights
Maroon,2,Looked up at the sky and it was maroon,27,5,Midnights
Maroon,2,The burgundy on my T-shirt when you splashed your wine into me,28,6,Midnights
